step,time,true_x,noe_x,rmse,comm_norm,entropy,coherence,rank
45,0.23,7.2817239030959255,3.1372323955944665,5.305131512990151,2.1434527120418196,1.0787719391065784,1.0,3
46,0.23500000000000001,7.6417493283679985,3.042899286144916,5.527470308420088,2.1558881066766573,1.0782274333190123,1.0,3
47,0.24,8.01566260570193,2.9508191079123947,5.741768125133014,2.1688878065693102,1.0776845820943997,1.0,3
48,0.245,8.403326065458868,2.861024374189526,5.946068393513454,2.182466042984687,1.0771436402691121,1.0,3
49,0.25,8.804470848713743,2.7735477924621748,6.138189220799544,2.196630322839501,1.0766048689255256,1.0,3
50,0.255,9.21867625707236,2.688421712274831,6.31571864294406,2.211381823848549,1.0760685358528475,1.0,3
51,0.26,9.645347600001463,2.6056775711386564,6.476014755479961,2.226715783228659,1.0755349158541185,1.0,3
52,0.265,10.083692797655306,2.525345342767565,7.003765753492324,2.242621878287198,1.0750042909037496,1.0,3
53,0.27,10.53269812845582,2.44745299207608,7.72374142350361,2.2590845978319987,1.0744769501604206,1.0,3
54,0.275,10.991103666997807,2.372025941502393,8.461873625987273,2.2760836039976957,1.0739531898406793,1.0,3
55,0.28,11.457379138139848,2.299086553322198,9.215770361952554,2.2935940847456817,1.0734333129591602,1.0,3
56,0.28500000000000003,11.929701113746193,2.2286536326846687,9.982464812363238,2.311587097915113,1.0729176289419398,1.0,3
57,0.29,12.405932692357093,2.1607419561226493,10.758368846450745,2.3300299082412685,1.0724064531202266,1.0,3
58,0.295,12.88360701767807,2.0953618302538217,11.539236160857238,2.3488863191804583,1.07190010611225,1.0,3
59,0.3,13.359916192783832,2.0325186852925583,12.320139319213864,2.368117001660224,1.0713989131019397,1.0,3
60,0.305,13.83170731155962,1.9722127078237435,13.095465396758959,2.3876798219946194,1.0709032030236894,1.0,3
61,0.31,14.295487430256314,1.9144385170456601,13.858935139262252,2.4075301711575943,1.0704133076631914,1.0,3
62,0.315,14.74743930921025,1.8591848883654691,14.603650412732543,2.4276212973972706,1.0699295606850079,1.0,3
63,0.32,15.183449635119105,1.8064345278254095,15.322174141652575,2.447904643810721,1.0694522965981343,1.0,3
64,0.325,15.599151156947244,1.7561639003533145,16.00664581490153,2.4683301920041534,1.0689818496713632,1.0,3
65,0.33,15.989979709458044,1.7083431142705194,16.648933921648574,2.4888468123633727,1.0685185528106889,1.0,3
66,0.335,16.35124644606233,1.6629358638603549,17.240824365078648,2.509402620786342,1.0680392734022894,0.9999643229394896,3
67,0.34,16.678224764511533,1.6198994311116834,17.774241072519438,2.5299453410198507,1.067539857938302,0.9998863549194292,3
68,0.34500000000000003,16.96625041666254,1.579184747015475,18.241491857201307,2.5504226710308013,1.0670495727042497,0.9998101659962622,3
69,0.35000000000000003,17.210832206462516,1.5407365120231162,18.635529371677,2.570782651167014,1.066568872383822,0.9997359456443287,3
70,0.355,17.407769585136784,1.504493374489087,18.950214093639246,2.590974031254673,1.0660982024431513,0.9996638793906847,3
71,0.36,17.553272458117224,1.4703881651348212,19.180564116771468,2.6109466332702156,1.0656379980812798,0.9995941490047371,3
72,0.365,17.644077744825996,1.4383481848035586,19.32297548593073,2.6306517058358057,1.0651886832320336,0.9995269326872267,3
73,0.37,17.677556796389585,1.4082955420456287,19.37539723645671,2.6500422665387386,1.064750669626208,0.9994624052554926,3
74,0.375,17.651807771783158,1.3801475363970255,19.337447333236952,2.669073427975029,1.0643243559222983,0.9994007383222505,3
75,0.38,17.56572755350183,1.3538170826078542,19.210459304265445,2.6877027034704724,1.0639101269132445,0.9993421004654519,3
76,0.385,17.41905874891856,1.3292131705558035,18.99745423785699,2.7058902886341194,1.063508352815793,0.9992866573871082,3
77,0.39,17.21240871152068,1.3062413551540644,18.703038461092063,2.7235993152402145,1.0631193886481372,0.9992345720593264,3
78,0.395,16.94723920858572,1.284804270243015,18.33323299288604,2.740796074397702,1.0627435737005069,0.9991860048561413,3
79,0.4,16.625827196787327,1.2648021602465107,17.895246079095042,2.7574502065329978,1.0623812311023317,0.9991411136701038,3
80,0.405,16.251198962044626,1.2461334232790975,17.39720415330014,2.773534856355896,1.0620326674885716,0.999100054012945,3
81,0.41000000000000003,15.827041457452504,1.2286951594090993,16.847858985787568,2.7890267916756257,1.061698172766739,0.9990629791000055,3
